,Unnamed: 0,index,id,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids,game_edited,edited_game_fields
35,35,85,pOvjLn7nuSqcxgqhaNuv,2021-12-24 15:48:49.607000+00:00,few_objects,Move the two balls on the shelf to the floor along with the ramp underneath the shelf. Move the bin to anywhere you'd like in the room.,"You could shoot the balls into the bin in the room and play basketball. You could put the bin anywhere you would like into the room ie. the shelves, the desk, the bed, anywhere you would like. Shoot the balls into the bin.","Shoot as many balls as you like, every time you score you get 2 points but every time you miss you go down 1. If you hit the ball off the wall or another object, you get double the points which would be called a ""trick shot."" If you can make the book into the bin, you get 10 points. 1 time. You can get to 10 points, but if you go under 30, you lose. 10 wins.",3,10,10,"I would say that I would change how I said to put the ramp into the middle of the room. I would take that away not realizing how complicated that actually is. Also, the accuracy of the throw and everything isn't very good. I would give more leeway. ","I just looked at objects that were in the room and tried to think of the easiest game i could think of to make. I just used the few simple objects in the room and used them. The two balls and the bin. Because the aim and some things aren't that great, it was a little hard to think of any other kind of game to make. I'm sure I could've made a better one.","No. Other than when I had to do my gameplay part, it didn't quite let me finish or do it. It worked but i didn't know what to do about submitting it but i think my game is pretty self explainatory.",interesting study. ,I did not. ,False,
36,36,86,1aTng0m9240WEAU975WE,2021-12-24 16:45:50.924000+00:00,few_objects,You need to set up the bin on the bed and the two dodgeballs in the table. (you may need to remove the computers),you have to throw the dogeballs from across the room and you need to try to get them in the bin. You have five tries so that you don't spend all day throwing dodgeballs.,"whenever you get a point you put one of the blocks on the shelf. (on any of the two, it doesn't matter)",3,"probably a one or a two, just because you would probably need to get used to the engine's physics",0,"the desktop kind of got in the way, i wanted to move it out of the way but you can't pick it up, then it fell down and made it hard to position yourself to have a better shot at the bin",I kind of scanned the room and try to make connections between the objects that are around and how could they work if used together,"some objects clipped through the walls if you carried them and then faced a wall, but none of the required objects for my game clipped through","I am not quite sure what this experiment is measuring, but I found it interesing and innovative, probably one of the most fun experiments I've ever been a part through in prolific.","No, I did not",False,
37,37,87,9ntGYoDdUca5ZsjyHXdm,2021-12-24 16:49:22.695000+00:00,many_objects,"Pick up a dodgeball, put your back against the wall opposite the bin",Throw the ball using the appropriate amount of force to make it go inside the bin,"1 point per successful throw, 10 throws in a row, maximum of 10 points",3,3,2,"It's a good way to pass time if you are alone, isolated and have nothing else to do",I looked around for objects that could be used but tried to keep it as basic/simple as possible,The controls can be a little over sensitive but no problems,No!,No external aids,False,
38,38,88,F2XpXd2PeEcqSIqbg1Pm,2021-12-24 16:49:57.455000+00:00,medium_objects,"To prepare the room I would leave what already is inside of it. Chairs, balls, bin, etc. But for the game what i would need would be balls, a bin, and maybe some paper from a printer","The game would consist in throwing the dodgeball to the bin, and try to put it inside. When i say the dodgeball, could also be the paper from printer in form of a ball, could be a small book, toys. The issue here is, if the player is stuck in the room, and would get bored, mind will always work its ways to stay out of boredom so it will create these simple types of games.","The scoring system would consist in if the dodgeball is big, if the player is able to put it inside the bin by throwing would give us something like 5 points. If there were smaller balls like pingpong balls, those would give us 2 points because its easier to fit in the bin. Etc.",1,"If there was a timer for lets say 1 minute, i would score something like 15 points.  Depending on the ball being thrown",6,"It is fun, time passes fast, and doesnt even remembers the player that is inside of the room locked","The important thing in a game is that the player needs to reach the state where he doesnt remember he is playing a game and that the time is passing without knowing. Simple games can get bored fast, but if there is some sort of engagement between the game and the player, something that makes the player gets addicted, or with nice feedback, The player will enjoy playing and will continue playing the game",No,No and thank you for this experience,"No. It was actually really fast. was just looking through the room checking what was available, and when i noticed I was locked in the room with the balls and the bin, that was it. Time to get creative and distract the mind from the boredom",False,
39,39,89,1rYjOIFnlUodFt6LittX,2021-12-25 20:01:49.954000+00:00,many_objects,we need a ball,through the ball against the wall ,"if the ball reflected back to the player, he/she score a point. ",0,10,0,it needs a mechanism for catching the collided ball,"it was minimalist strategy, to use use the least objects in easiest, straight forward  manner.",no,no,no,False,
40,40,90,VrZQFpIsfagKuUu63Lug,2021-12-25 20:23:01.293000+00:00,many_objects,Set up the ramp on one end of the rug,use the beach ball and send it down the ramp ,"The balls that land in pink are worth 1, the balls that land in orange and blue are worth 3, the balls that land in yellow are worth 2, the balls that land in purple are worth 4. The balls that land in white are worth -1, the balls that fall off the board are worth 0",1,1,0,It was a bad game. The gameplay didn't allow balls to be moved by other balls,I tried to find a way to make gravity work in my favor in this game,Yes. The game doesn't one object move other objects,No,No,True,"setup,gameplay,difficulty,firstTimeScore"
41,41,91,Eqr08wgdjHiZUkX9dPEJ,2021-12-25 20:37:47.921000+00:00,many_objects,All items have been moved into one side of the room . A line on the floor has been drawn by using bridge blocks that have been frozen,The object of the game is to get the items from one side of the room as fast as possible.,"You get 30 seconds and you get 1 point for each item that you move into the other half of the room in that time.

You must count the seconds out loud or use a timer if you have one",2,10,10,The game is harder than i expected but quite fun,"I thought about the mechanics of the game and the ways that we can interact with the objects, as well as what objects we had. I considered the way i can manipulate each item in game, and came to the conclusion that throwing the items would be a fun game. But experimenting i realised that precise shots with the items were very hard. My original idea was to throw items into the bin from far away but that was extremely difficult so i changed it to simply moving objects from one side of the room as quickly as you can",It worked fine for me,Very fun and interesting experiment thank you. and also i like the choice of album on the computer :),I took a picture of the instructions so i could refer back to them,True,"setup,scoring"
42,42,92,6H0vL7KFk6vNRrhjGokK,2021-12-25 22:01:35.837000+00:00,few_objects,"Move the bin to a location reasonably away from other objects. Move the dodgeballs to the ground a few ""meters"" away from the bin. Crouch.","Can play a basketball like game where you shoot the dodgeball into the bin. Crouch and use left click the interact with the object. Next, hold the ball and aim towards the bin. Pick up the ball from where it lands and go back to the original position to play again.","You get 5 chances to shoot the dodgeball into the bin from the same location. Every time it lands successfully into the bin, you get one point.",2,2,1,"Game could probably be more complex, but I tried with the ramp and the limitations of the controls makes it difficult.","I tried to look at the objects in the room and think of games that I have played with similar objects. Then, I looked at the controls and limitations of them to think of the game.",No,One of the most interesting experiments I've done. I would love to know the process of developing the web application for this study.,No,False,
43,43,93,vDga0ZecqYMkFML6dsf9,2021-12-25 22:09:38.112000+00:00,medium_objects,Pick up the dog bed and place it in the center of the room. Collect the three balls.,Throw each of the balls and try to get them to land in the dog bed.,1 point if you get the basketball to land in the dog bed. 2 points for the beach ball and 3 points for the dodgeball. 1 extra bonus point if you first bounce one of the balls off a wall.,2,1 point,0,It is harder than I thought.,"I saw the balls and first considered the trash bin.  The trash bin was too small for the all of the balls though. The dog bed seemed like a perfect fit. I mostly considered the ease of set up, game play, and scoring. ",No,No,No,True,difficulty
44,44,94,hSoJ0izqfmvls0GJnylN,2021-12-25 22:20:44.205000+00:00,few_objects,watch,find the hidden object,"The sooner you find the hidden object you receive more points, there are 5 minutes to find the object, if you get the object before 1 minute you receive 500 points, if you get the object within 2 minutes you receive 400 points and so on, with the lowest score being 100 points",2,300 points,400,,I used the environment available to build a game,no,no,no,True,setup
45,45,96,TSeBHnKzO96Vswy4B1rh,2021-12-27 14:31:16.591000+00:00,many_objects,"Grab a bear off the bed and place it in front of the bed on the floor right in the middle. Move the pillow in the middle of the bed somewhere where it won't get in the way. Grab the second bear and put it behind the first, sitting on the bed. ","Hit the bears! Stand next to the sliding glass door near the computer desk.  Use the three dodge balls and three golf balls to try and knock over the bears. If you run out of balls before knocking over the bears, you get zero points. ",Using a dodge ball gets you 1 point if you knock over a bear. Using a golf ball gives you 2 points if you knock over a bear. ,0,3,3,"It's kind of fun, but I should have said it was easy!","I wanted to do something that would be easy to score. I had trouble coming up with something at first, but then I just reminded myself to keep it simple.",None!,This was  really fun study! Thank you so much!,No assistance.,True,"setup,difficulty,firstTimeScore"
46,46,97,xBnHQLQafnF1QeF5DskC,2021-12-27 14:32:41.737000+00:00,few_objects,"Take the curved ramp and place it somewhere in the middle of the room, with the far end of it being the higher end. Then find the purple dodgeball in one corner of the room, and pick it up.","With the curved ramp set up in the middle of the room, stand several feet from it with the purple ball in your hands. You will throw the purple dodgeball at the curved ramped, with the goal of trying to get it to land on the bed. ","For each instance that you throw the purple dodgeball at the curved ramp, and it lands on the bed, you gain 1 point. For each instance it lands on the ground somewhere, you gain zero points. Finally, for each instance the dodgeball richochets backwards and instead hits you, you lose 1 point.",3,-1,-1,"I actually did really well at the beginning. On my first try, I scored 1. Then I missed repeatedly, before scoring again. Unfortunately, on my last few tries, I had the ball richochet and hit my body, taking 3 points off of my (initially okay) score. So, out of 10 tries, I actually got a negative score!","I tried to look for items that I would normally interact with in real life. When I saw a ball, I knew that it would be a very interesting item I'd normally want to check out. Initially, I was going to use the wastebasket as an item, but then when I saw the curved ramp, I thought that would actually be a more interesting item, due to it being curved, and the relative difficulty it would be to aim a curved object (the ball) at a curved ramp, and having it land consistently somewhere large (the bed).",No. Not at all.,No. Very interesting!,No.,True,difficulty
47,47,98,xrr4wYkEAFurS1arixWr,2021-12-27 14:52:45.930000+00:00,many_objects,"None, you just need to pick up the Beachball.",Standing off the multi-coloured rug opposite the green small ramp you can charge a throw and rebound the beachball off the small green ramp and allow it to roll back towards you and then score points based on how far it rolls and which coloured section of the rug it stops in.,"The first section in red could be 1 point for a poor throw or bounce, the larger pink section can be 3 points but the incentive should be on trying to roll it back the furthest to land in the green section for 10 points without it rolling off the mat which is possible with a fully charged shot, if you roll off the rug then you would score 0 points.",1,"It would depend on how many throw attempts you get, on a first attempt you would be likely to score 3 points because pink is the largest size and section.",3 points,,"I wanted to use a ball as there was one in the tutorial room and that came to mind first, also there is a random chance to bouncing and rolling, I also wanted to use the charge shot mechanic from the tutorial so you could vary your power and change the result over multiple throws. I wanted to use a ball in the room which bounced and rolled well and then find some way to score it, the golf balls went too far and the other coloured balls didn't go far enough but the beachball bounced off and rolled just the right amount in comparison to the rug. I thought it would be easier to use the coloured sections on the rug rather than make it more complicated by using more objects and setup.","I could control inside the room when setting it up the first time and I tested and played the game in that period but it wouldn't allow me to control the room again, it was just frozen, I kept clicking inside the window and lost control of the mouse but I couldn't move anything inside the game room so had to rely on my first time playing.",No.,"I noted the instructions of what it wanted me to do, only use objects in the room, single player, scorable etc.",False,
48,48,99,EB9bKJMBxNqVaRtrXDuO,2021-12-27 16:45:19.458000+00:00,medium_objects,"The game player will play is basketball. At the beginning of the game you will have to build a basketball basket on the center of room. You will have few minutes to do it. You can use various items in the room like cylinderblocks to make a pipe and use a bin as a basket. But be careful, you should also take care of the safety of play (not break something).

The bin should be stable on top of the structure you have build. Player will have an extra abilities to freeze (except bin, it will be stable as long as the construction is stable) up to 3 different items. Every other usage of it will cost him 15 points.

Your goal is to achieve at least 200 points with 50 ball throwings.
Basket should be built finally at eye level when you are not crouching.","Game will be basketball, player will need to throw 3 different sized balls to it - beachball, dodgeball and basketball. They are different sized and different pointed.

Then every time he throws a ball player will be spawned in random place in the room and player will need to hit the ball into a basket.","Firstly, player will gain extra 10 points if he use pillow or dog dogbed to secure desktop screens or notebook. He loose 20 points for any extra ""freeze"".

Player needs to throw a ball to the bin without break built construction or something behind it (for example computers).

He may use any ball you want, but:
- if player score with smallest (dodge) ball you will earn 5 points;
- if player score with basketball - you will earn 7 points;
- if player score using beachball (which is too big for bin and it will be on it) - you will earn 15 points

Extra points can be achieve if the player:
- use pillows/dogbed/teddy bear to secure notebook (+10 points)
- use pillow/dogbed/teddy bear to secure dekstop (+10 points)
- use blinds to secure windows (2x 10 points)
- secure door windows (+50 points - it's diffifult to secure it), example: https://i.imgur.com/hH6ClWQ.png
- hide alarmclock in drawer (10 points)
- hide cellphone in drawer (10 points)

The fewer objects change its default position to build a basket and put it in the position of the eyes, the better.

Every time a item will be moved (except balls, opening and closing drawer and move blinds) a player will loose 5 points. That's why player gains extra points if he remember to secure room and he make the least amount of movements.
If the player broke window, notebook or ",4,70,Approximately 60 points,"I fortgot to mention that ""destroying"" window, computer or notebook will be -40 points and I destroyed desktop (I couldn't grab it buy it was on the floor).

Strength of throwing the ball was very hard, also the ball was jumping up and down more than I thought. I was playing with balls during practise but not into the bin, so my first game with throwing balls to bin was really hard. I tried to do it with various places and for many, many attempts (and broken destkop) I managed to do it with basketball.","The number of items was small and gravity works weird. I wanted to create a game where we use ramp and slide a balls on it to but them on the shelf (near the bed) but it was impossible - something like bowling. So I thought about standard basketball. I thought it will be hard with difficult gravity and moving object to create (but not as much as it was) so I wanted to reward a player with various actions like thinking how to secure room with the least amount of moving blocks. To make a game more complex, funny and fair I decided to give him ability with few extra ""freezes"". ","Rather not, except difficult gravity of items and one time one block from shelf ""exploded"" (?) when I moved it close to window. I mean probably fell off the room (bug).

Destruction system with computers, smartphone or mug was fun (now I feel confused whether I said before about mug...) but it was strange it was impossible to break window of door.

Also few times my character was trapped until until the item was moved. Jumping or walking on items may be helpful.","Nothing more, game was really fun. I wonder what the main purpose of the task was. Anyway, thanks for nice time I spent  by helping you with your research :)
Have a nice day!","No, just my brain :)",True,"scoring,difficulty,firstTimeScore"
49,49,100,5217Qbj8V5farCF3bBJT,2021-12-27 16:47:36.480000+00:00,many_objects,"The first game: The basketball game. You need to stand at the door on the green little ball, this is your starting point. ","On your right you there should be 3 balls, your task is to grab these balls and try to throw in into the (green) bin that is between the two windows. becareful, you only have one try with one ball!",Each successful throw represent 10 points.,3,10-20,10,"It turned out, it is not as easy as I thought ist gone be.",I tried to use some game designs/experiences from my childhood.,"No there was not, it was easy to use all the functions.","Keep up the good work, I really liked this study!:D",No I did not.,True,difficulty
50,50,102,1El1CmicSoKZKTLe8NpP,2021-12-27 19:18:13.959000+00:00,medium_objects,Dumpster must be on the middle.,"In this game, you have to throw as many items to the dumpster, as it's possible.",Every item in the dumpster equal one point.,1,5,6,"This game is very funny, but at first, you have to set up the dumpster on the mid.","I wanted to create an easy-going, funny, and simple to prepare game. I used as many things in a room as it's possible. I think I create something really good.","No, I didn't have any technical  difficulties.","No, i don't have.","No, I just tried to remember in my mind as many things as it's possible.",True,setup
51,51,104,OkKMZ7MxTSxfxQoPDZQK,2021-12-27 22:47:36.872000+00:00,few_objects,Take some dodgeball,throw the dodgeball in the bin,If the dodgeball enter inside the bin you got one point,1,One point,,,,,,,False,
52,52,105,rRNy5QUGjCQzjIYuZvWJ,2021-12-27 22:53:08.475000+00:00,few_objects,Stand on the carpet within the reach of all 6 Cube Blocks.,"The person stand/crouch on the carpet and throw cube blocks on the desk.
The goal is to put blocks on the desk and not to destroy/move the computer, lamp or laptop.
Player is not allowed to leave the rug.
There are 6 CubeBlocks, so the player can score up to 6 points.
","1 CubeBlock on the desk = +1 point
Moving laptop, lamp or monitor / leaving the rug = 0 points",1,4,4,The setup is required - you need to stand on the rug within the reach of cube blocks.,I was trying to play in the room with various objects. I found out throwing was the most fun.,Sometimes the ball I was holding was stuck in or behind the walls.,"Everything went good, I enjoy this task.",I was not using any external aids.,True,setup
53,53,106,hpLNbpSomVV4DZ5rNVJo,2021-12-28 00:36:58.625000+00:00,few_objects,"To prepare room for the game, Player have to clean the room and to move some things to the right places. ","To play my game Player have to put all cubes to the shelves, to put dodgeballs to the bin, and move the bin to the corner. Also to hide small things. ","The more  quick and clear movement, than Player will have higher score. Each right movement will bring 5 points. ",2,60,50,Hard and simple.,No special strategy.,No.,"No, needed more time too complete the game.",I took screenshots.,False,
54,54,108,3APkFcoLdilq9XtRazoa,2022-01-19 22:27:47.865000+00:00,few_objects,No need for changes,"You could play stacking cube blocks. In order to do so, you are required any cube block that you want to stack",Each cube block that you moved and successfully stacked will be counted as one point. You can only pick up any block 2 times. So if it falls only a second chance. As long as the tower stamd for 2 seconds. The highest state reached at any point in time will be counted,2,4,1,"Yes. It is harder than I thought, In my last try I had successully stacked three cube blocks. When trying to stack one more I destryed my tower. So that only one point was left","I thought about what was able with the objects in the room. I tried to put the balls over the ramp into the bin. Since that didntß work and I needed to create a playvalbe game, I decided on stacking cube blocks.",No,Cool tool,No I didn´t,True,scoring
55,55,110,gMqKBjOWDlhMU1tl10nI,2022-01-19 23:21:41.366000+00:00,few_objects,Find the trash bin and move it to the center of the room (across from the mirror). ,"To play my game, players must find as items as possible, pick them up, and throw them in the bin.","To win a point, players must successfully land an item inside the bin on the first throw. ",2,I would score 5 points. ,I scored three points. ,,"I considered something that would be fun for me, as well as something that would entertain players other than myself. I also wanted to encourage exploration of the room by finding as many items as possible. ",No,Thank you! :),No,False,
56,56,111,9Aiqaq13I7lUZsLlNEfW,2022-01-19 23:48:33.078000+00:00,few_objects,grab a dodgeball from the drawers above the bed. go as far away from the garbage bin as you can and throw the dodgeball into the bin,you have to make the ball into the bin by throwing it,"you have 3 tries to make it. the less tries the more points. the cleaner you sink it the more points,",4,0,0,its really not a good game,i just tried to think any possible way i could make the game have a goal and a point system based on that goal.,no,no,no,False,
57,57,113,730QTwZ02OR88CPpsmSI,2022-01-20 00:29:05.350000+00:00,medium_objects,the objects must stay in in the inicial place as 1st shown,"The game is to tidy up the room. The objects should be placed as follows:
- book on the shelf of the desk;
- pensil, pen and cd on the other shelf of the desk;
- dodge and basketball in the bin;
- beach ball on the carpet;
- Cell phone, keys and credit card on the bedside table's drawers;
- Watch on the shelf.","each time you fix an object that must be fixed, you earn 5 points",2,55,50,"Some objects are tougher to move around without breaking, and the instructionms should include where each object goes","In the first phase while exploring the room, by moving the objects around, I tried to understand how they moved and if they would break. Then, since we are in a reality like room, with day.to.day objects, I thought of a game that would also mirrored real life activities, and so I tried to tidy up the room. Then I've tried to select easier objects to replace so the person playing would not be frustrated by not being able to correctly place the objects after a few attempts. The scoring had this in mind as gaining 5 points intead of 1 per object for example, keeps the player more enthusiastic as he will have more points overall.",No,No,I did not,True,"gameplay,firstTimeScore"
58,58,114,JNLBQW5TcsbOY86oNd2A,2022-01-20 00:36:44.066000+00:00,medium_objects,"Using the blocks on the shelf, use the short cylinder, long cylinder, pyramid, cube, flat rectangle and the bridge blocks to make a tower. Hide the other set of identical blocks around the room.","The main objective is to make a second block structure that is a match to the first one. However, the blocks you need to build the structure are missing. They are hidden around the room and you need to find them. ","First, you need to find the hidden blocks. There are six blocks total.  They are worth 5 points, meaning the highest earning is 30 points.
Next, you use the blocks to match the first tower. Before you start building, you gain 100 more points. Then, 10 points get taken off of your total score every time the tower falls over or it doesn't match.",3,60,60,"Now that I've played my game, I don't wanna play it anymore. It was too finicky to put the tower together because of outside influences (computer lag, issues with depth perception) that made the game not fun for me.","I wanted to use the blocks because I noticed there was a pair of matching blocks.  I also wanted to do something like a hidden picture game or like an escape room game where you gather clues within a confined space. But I didn't want to include outside materials; I wanted to strictly adhere to the study's instructions to only use whatever is in the room. This meant I disregarded any timer mechanisms or using my phone to make a list of objects to find because I limited myself. This also meant I couldn't do anything that needed a calculator and I needed to keep the point system fairly simple.  I also wanted to do some kind of a grading system for the end of my game and compare it to how fast I could complete the task.  But because I placed a large restriction to only using objects in the room, I had to scrap them.","There was a slight lag on my end, but it wasn't too cumbersome. Just annoying to me.",No questions.,None.,True,"gameplay,scoring,difficulty,firstTimeScore"
59,59,117,YB9HWpd4rMWwS3P2mCVk,2022-01-20 15:42:09.638000+00:00,many_objects,"Move the bin near the door and get any of the balls (golf, dogeball or even basketball)","Throw the differents balls in the bin (golf, dogeball and basketball)","Throwing the differents ball in the bin give these points
- Golf balls : 2 points
- Dogeballs : 3 points
- Basketball : 4 points",3,3,0,It's more difficult than i thought...,"Well i looked all the objects and imagined it was my own room when i was a kid, i always wanted to do shoots in my room, so that's the 1st thing that came to my mind","No technical difficulties, the game was smooth and everything went fine",No questions :),No external aids,True,"difficulty,firstTimeScore"
60,60,119,nI63T9y0c7KEzPgfadgy,2022-01-20 16:09:20.905000+00:00,many_objects,"the room would be scattered full of things, but randomly every time","so this would be a speedrunning game. You would start the game in an untidy room and would then have to follow different tasks in order to complete them all in the right order and clean up the room as fast as possible. you would have a certain amount of tasks, and it would be like a time trial. the tasks and untidiness of the room at the start would be in random orders.",when you complete a task you get one point. there would be for example 10 tasks to complete in order to tidy up the room. and when you fail one or dont do it in time a point is deducted. when you reach the specified amount of tasks the timer stops and your time gets written down.,3,i would score most points,all the points,"it is fun, but it needs instructions paired up with the gamplay. for example: ""throw the balls in the bin in 20 seconds. if you complete it you get a point""",i used my imagination. when i saw the room i knew it had to be connected with cleaning and tyding it up. and then i added a point system based on a specific amount of tasks and time frame.,when i press the w key and control key at the same time (crouch and walk at the same time) the window closed and i had to start over.,nope,not at all,False,
61,61,121,iEqK3y2TMsJ4UTeD7EaX,2022-01-20 16:35:49.684000+00:00,many_objects,The setum of the room requires to drop a piece of flat rectblock for 1 game into the carpet and the 3 pyramidblocks at a certain distance. ,1 game is to throw the 3 dodgeballs into the bin. Also make the longest tower using the cubeblocks on top of the recblock.,"For the dodgeballs it is necessary to drop them into the bin at the distance of the yellow reblock (10 points),  red pyramidblock (25 points) and blue pyramidblock (50 points)
if it is too close to the bin, no points will be given (0). Adittional points will be given to the farthest distance to the bin (all 3 balls in the blue pyramid for 100 additional points). For the tower, there are 30 points for each recblock succesfully placed in a vertical position, and 100 points in total for making the tower of 3.",3,110,180,"The score for the dodgeball is too ambiguous, maybe I would modify that using the pyramid blocks ad a measurement of distant between the bin and the player.","My strategy was that the player can have a lot of freedom in orden to obtain the maximum score. I didn't ask for perfection, as long as the player was suscessfull in the tasks that I designed, that person would obtain the maximun score.",Not at all,"The study was fun, thank you!",A small note taking,True,"setup,scoring,firstTimeScore"
62,62,122,5IuRnM4sMvHnyLOcBIuC,2022-01-20 16:41:13.556000+00:00,medium_objects,All items should be in their place of origin (laptop on desk etc.).,A player must collect 2 different items and throw them from one end of the room on the bed. If any item fall of the bed a player should start a game again.,"Big objects like laptop, mattress, chair give a player additional 5 points. Every lost round (when any item fall off the bed) cause minus 5 points. 1 small/middle item gives a player 1 point.",3,"Maybe minus 20, because this is quite a challenger I think.",0,Instruction wasn't clear enough. Game is too hard for me to finish.,"I was just focused about what is in the room, what was the physics and then I realised it is a thing for me. It was something unusual.","No, I didn't","No, I don't. Everything is clear.",I had my document opened to write my score.,True,"gameplay,scoring"
63,63,123,GF4TTr6H2CftJ4nrR8oj,2022-01-20 16:51:31.846000+00:00,medium_objects,Ensure there are no objects in the middle of the room.,"The game is called Object Stack. Using the objects in the room, the player is supposed to stack objects vertically, on top of each other.

For increased points use any non-block objects.

The game ends when an object falls from the stack.",The scoring system is 1 point for each wooden block (available on the shelf in the middle of the room) stacked and 2 points for each non-block object (everything else) stacked.,2,6-8 points,4,"I need to elaborate regarding instructions and rules; I feel I missed some key points-

Freezing objects isn't allowed. All other controls are OK.

The game ends when a placed block falls off the stack.

Points are only gained for objects that are stacked vertically.
",I considered a game using the balls and the bin however I thought that'd be too easy using the controls in the game. I wanted something more challenging. I decided with the Block Stack as I think it's fun and easy to understand rules wise. It can be varied - the use the different odd-shaped objects in the room not only increases the points and difficulty but increases the variety of what is possible.,No.,Enjoyed it! Game ran smooth and encountered no issues. Instructions were clear and concise. Thanks!,I copied and pasted the initial instructions (after consent form) into notepad so I could refer back to it if needed.,True,"gameplay,scoring"
64,64,124,PviHN8QezQVs6fynlANx,2022-01-20 20:14:23.327000+00:00,many_objects,,"Throwing the dodgeballs into the bin, standing at different distances.","The further you are, the more points: next to the bin = 1p, carpet edge = 2p, against the wall = 3p.",1,2,2,"I described balls wrong, I meant dodgeballs.",I went for the obvious provided game idea - bin and throwing balls into it.,None.,No.,None.,True,gameplay
65,65,128,ZSRiFalssazyXG8Qui4j,2022-01-20 20:42:53.235000+00:00,many_objects,enter,get all the balls on the bed,count balls after time x,1,I would find this really difficult. Indeed it is annoying me. I'd give up after 3,2,The game is ok but my skills are rubbish. It was fun that my first ball on the bed got knocked off by my second. I swore.,I wanted it to be simple as I suspected my skill and patience might be lacking,where do I start? I think I used limited functions,I feel old. I bet my grandson would beat me at this,"no, never thought of that. would it have helped?",False,
66,66,130,sarF2f4w4geYW16PILR2,2022-01-20 22:14:19.900000+00:00,medium_objects,"Take the two BridgeBlocks and the two CubeBlocks from the shelf, and place them on the ground near the door, not too close to each other (and freeze them).
Take the two CylinderBlocks and put them next to the two LongCylinderBlocks on the lower shelf.
Put aside all the other blocks somewhere, so that only the cylinders are on the (lower) shelf, the top one should be empty.
Place the DogBed next to the SmallRamp on the ground, and take the Dodgeball.","The game is to guess where the Dodgeball will end up after throwing it.
Pick one of the building blocks from the lower shelf and put it on the top shelf. The block with the corresponding color is the one you are betting on. (So you put a block on the top shelf to signify that you think that the block with the same color that's on the ground will be the one that's closest to the ball after the ball stops.) (We say that the light blue block has the same color as the dark blue one for the purpose of this game.)
Stand (or crouch) on the DogBed with the Dodgeball in your hand, and throw it in the direction of the door (for extra challenge it could be a requirement that it has to bounce off of the door). Try to aim it so that it ends up next to the block you picked. After the ball stops, assess which block it is closest to (use your honest judgement, but if there's an equal distance to more blocks, throw it again).
If you guessed correctly, the block you picked is removed from the shelves (permanently), but the corresponding block on the ground stays there! If you guessed incorrectly it should be put on the lower one again, and you can pick a block again (or leave it on the top one if that's your pick for the next round as well). When all 4 blocks are removed from the shelves, the game ends.","When you correctly guess the block, you get 10 points. For incorrect guesses you lose 1 point. (You can have negative amount of points as well.) When the last block is removed from the shelves, you get 100 points, just so you feel better about your performance, then the game ends. :)",4,115,132,"If the ball doesn't have to bounce off of the door, it's much much easier.","Since I am the only player, I couldn't make a hide-and-seek game with objects, it seemed like physics-based game would be the only reasonable choice. I wanted to add an extra layer with the guessing (estimating) on top of the classic ""throw ball into something for points"".","Low fps, but it was mostly manageable.",No.,"I wrote the instructions into notepad, then copied into the textboxes.",False,
67,67,131,vgtHV3viTuaAEBMr9m0t,2022-01-20 22:41:52.981000+00:00,medium_objects,"Put 2 long cylinder blocks, 2 bridge blocks, 2 flat rect blocks and 4 cube blocks in a triangle formation like bowling pins, with the point of the triangle facing the bowler, and put them in front of the desk, remove the chairs to the side.","Use dodgeball, basketball or beachball as a bowling ball and hit the blocks, release the ball from on the carpet, cannot come out of the carpet.","If using dodgeball, the number of cubes that are knock down are the number of points a person gets; if using basketball, the number of points are the number of knocked down cubes multiplied by 0.7: if using beachball, the number of points are the number of knocked down cubes multiplied by 0.5. A single game consists of 8 frames, with each frame consisting of 2 chances to knock down for each person.",1,64,30,It is more difficult to play than I thought on the computer. ,"I saw the cubes and balls, and the room was spacious, so I thought a mini bowling-like game could be created in the room.",Moving around the items in the room was a little bit difficult.,No,No,False,
68,68,132,FDEjFQ4l4RicsJzAe2BG,2022-01-21 00:30:40.147000+00:00,medium_objects,All movable items must be piled up on the computer desk. ,"With all movable items piled up on the computer desk, start the game. The game is to move all the items from the computer desk to the empty shelf near the bed. All items must be stacked there neatly. Anything just shoved on there, or close to falling does not count.

The computers, laptops and chairs are not used.  Be wary of the bed, because items can be lost on it. Do not go too close to the wall with items, as they will clip and then be lost. ","Each item with flat edges stacked gets 1 point.
Balls get 1 point.
Odd shaped or oversized items get 2 points each.

All items not placed on the shelves subtract 2 points.

All items not neatly placed will result in a subtraction of 4 points. ",3,"Because the controls are not precise, i'd probably get 0 points.",-45,"The depth of field in the game is an issue. It makes it harder to drop items. Also, the bed became an issue. Items (such as the pen and credit card) got stuck to it and were not able to be picked up.

I wanted to drop the balls on the bridge pieces, the balls wanted to bounce too much, instead of settling. This became a frustrations. The book did not want to go on the shelf, and it should have been the easiest.
I should have limited the items to items that could reasonably fit on the shelf, but since i included all items, i doomed myself.   ","First thing i thought about was making a ball into the basket game, but then i thought that game too limited. I then thought about the concept of cup stacking, and decided that stacking items competently is a reasonable task. Adding a point system to something simple like that makes it a game. A time limit would have been even better.  ","An item clipped into the wall and was lost. Another two items (the pen and credit card) got stuck to the bed, and thus were lost. ",No,No,True,"gameplay,firstTimeScore"
